1,肖申克的救赎,弗兰克·德拉邦特,1994
2,霸王别姬,陈凯歌,1993
3,这个杀手不太冷,吕克·贝松,1994
4,阿甘正传,罗伯特·泽米吉斯,1994
5,美丽人生,罗伯托·贝尼尼,1997
6,泰坦尼克号,詹姆斯·卡梅隆,1997
7,千与千寻,宫崎骏,2001
8,辛德勒的名单,史蒂文·斯皮尔伯格,1993
9,盗梦空间,克里斯托弗·诺兰,2010
10,忠犬八公的故事,莱塞·霍尔斯道姆,2009
11,机器人总动员,安德鲁·斯坦顿,2008
12,三傻大闹宝莱坞,拉库马·希拉尼,2009
13,海上钢琴师,朱塞佩·托纳多雷,1998
14,放牛班的春天,克里斯托夫·巴拉蒂,2004
15,楚门的世界,彼得·威尔,1998
16,大话西游之大圣娶亲,刘镇伟,1995
17,星际穿越,克里斯托弗·诺兰,2014
18,龙猫,宫崎骏,1988
19,教父,弗朗西斯·福特·科波拉,1972
20,熔炉,黄东赫,2011
21,无间道,刘伟强,2002
22,疯狂动物城,拜伦·霍华德,2016
23,当幸福来敲门,加布里尔·穆奇诺,2006
24,怦然心动,罗伯·莱纳,2010
25,触不可及,奥利维·那卡什,2011
26,乱世佳人,维克多·弗莱明,1939
27,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,2008
28,活着,张艺谋,1994
29,少年派的奇幻漂流,李安,2012
30,控方证人,比利·怀尔德,1957
31,天堂电影院,朱塞佩·托纳多雷,1988
32,鬼子来了,姜文,2000
33,指环王3：王者无敌,彼得·杰克逊,2003
34,十二怒汉,Sidney,1957
35,天空之城,宫崎骏,1986
36,摔跤吧！爸爸,涅提·蒂瓦里,2016
37,飞屋环游记,彼特·道格特,2009
38,大话西游之月光宝盒,刘镇伟,1995
39,搏击俱乐部,大卫·芬奇,1999
40,罗马假日,威廉·惠勒,1953
41,哈尔的移动城堡,宫崎骏,2004
42,闻香识女人,马丁·布莱斯,1992
43,辩护人,杨宇硕,2013
44,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,2006
45,两杆大烟枪,Guy,1998
46,末代皇帝,贝纳尔多·贝托鲁奇,1987
47,飞越疯人院,米洛斯·福尔曼,1975
48,死亡诗社,彼得·威尔,1989
49,指环王2：双塔奇兵,彼得·杰克逊,2002
50,素媛,李濬益,2013
51,V字仇杀队,詹姆斯·麦克特格,2005
52,教父2,弗朗西斯·福特·科波拉,1974
53,寻梦环游记,李·昂克里奇,2017
54,指环王1：魔戒再现,彼得·杰克逊,2001
55,海豚湾,路易·西霍尤斯,2009
56,饮食男女,李安,1994
57,美丽心灵,朗·霍华德,2001
58,狮子王,Roger,1994
59,情书,岩井俊二,1995
60,钢琴家,罗曼·波兰斯基,2002
61,本杰明·巴顿奇事,大卫·芬奇,2008
62,美国往事,赛尔乔·莱翁内,1984
63,看不见的客人,奥里奥尔·保罗,2016
64,黑客帝国,安迪·沃卓斯基,1999
65,小鞋子,马基德·马基迪,1997
66,西西里的美丽传说,朱塞佩·托纳多雷,2000
67,大闹天宫,万籁鸣,1961(中国大陆)
68,让子弹飞,姜文,2010
69,拯救大兵瑞恩,史蒂文·斯皮尔伯格,1998
70,哈利·波特与魔法石,Chris,2001
71,致命魔术,克里斯托弗·诺兰,2006
72,七宗罪,大卫·芬奇,1995
73,被嫌弃的松子的一生,中岛哲也,2006
74,音乐之声,罗伯特·怀斯,1965
75,低俗小说,昆汀·塔伦蒂诺,1994
76,天使爱美丽,让-皮埃尔·热内,2001
77,沉默的羔羊,乔纳森·戴米,1991
78,勇敢的心,梅尔·吉布森,1995
79,猫鼠游戏,史蒂文·斯皮尔伯格,2002
80,蝴蝶效应,埃里克·布雷斯,2004
81,剪刀手爱德华,蒂姆·波顿,1990
82,春光乍泄,王家卫,1997
83,心灵捕手,格斯·范·桑特,1997
84,禁闭岛,Martin,2010
85,布达佩斯大饭店,韦斯·安德森,2014
86,穿条纹睡衣的男孩,马克·赫尔曼,2008
87,入殓师,泷田洋二郎,2008
88,阿凡达,詹姆斯·卡梅隆,2009
89,幽灵公主,宫崎骏,1997
90,阳光灿烂的日子,姜文,1994
91,致命ID,James,2003
92,第六感,M·奈特·沙马兰,1999
93,加勒比海盗,戈尔·维宾斯基,2003
94,狩猎,托马斯·温特伯格,2012
95,玛丽和马克思,亚当·艾略特,2009
96,断背山,李安,2005
97,重庆森林,王家卫,1994
98,摩登时代,查理·卓别林,1936
99,喜剧之王,周星驰,1999
100,告白,中岛哲也,2010
101,大鱼,蒂姆·波顿,2003
102,消失的爱人,大卫·芬奇,2014
103,一一,杨德昌,2000
104,射雕英雄传之东成西就,刘镇伟,1993
105,阳光姐妹淘,姜炯哲,2011
106,甜蜜蜜,陈可辛,1996
107,爱在黎明破晓前,理查德·林克莱特,1995
108,小森林 夏秋篇,森淳一,2014
109,驯龙高手,迪恩·德布洛斯,2010
110,侧耳倾听,近藤喜文,1995
111,红辣椒,今敏,2006
112,请以你的名字呼唤我,卢卡·瓜达尼诺,2017
113,倩女幽魂,程小东,1987
114,恐怖直播,金秉祐,2013
115,风之谷,宫崎骏,1984
116,上帝之城,Kátia,2002
117,超脱,托尼·凯耶,2011
118,爱在日落黄昏时,理查德·林克莱特,2004
119,菊次郎的夏天,北野武,1999
120,幸福终点站,史蒂文·斯皮尔伯格,2004
121,哈利·波特与死亡圣器(下),大卫·叶茨,2011
122,小森林 冬春篇,森淳一,2015
123,杀人回忆,奉俊昊,2003
124,7号房的礼物,李焕庆,2013
125,神偷奶爸,皮艾尔·柯芬,2010
126,借东西的小人阿莉埃蒂,米林宏昌,2010
127,萤火之森,大森贵弘,2011
128,唐伯虎点秋香,李力持,1993
129,超能陆战队,唐·霍尔,2014
130,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,2012
131,怪兽电力公司,彼特·道格特,2001
132,岁月神偷,罗启锐,2010
133,电锯惊魂,詹姆斯·温,2004
134,七武士,黑泽明,1954
135,谍影重重3,保罗·格林格拉斯,2007
136,真爱至上,理查德·柯蒂斯,2003
137,疯狂原始人,科克·德·米科,2013
138,无人知晓,是枝裕和,2004
139,喜宴,李安,1993
140,萤火虫之墓,高畑勋,1988
141,东邪西毒,王家卫,1994
142,英雄本色,吴宇森,1986
143,贫民窟的百万富翁,丹尼·鲍尔,2008
144,黑天鹅,达伦·阿罗诺夫斯基,2010
145,记忆碎片,克里斯托弗·诺兰,2000
146,血战钢锯岭,梅尔·吉布森,2016
147,心迷宫,忻钰坤,2014
148,傲慢与偏见,乔·怀特,2005
149,时空恋旅人,理查德·柯蒂斯,2013
150,荒蛮故事,达米安·斯兹弗隆,2014
151,雨人,巴瑞·莱文森,1988
152,纵横四海,吴宇森,1991
